date,temperature,humidity,dc_output,energy_kWh
2015-08-23,431.09999999999997,1719.0,19322.492000000006,9.609999999999998
2015-08-24,416.2,1711.0,23478.285999999996,11.3875
2015-08-25,396.00000000000006,1637.0,20239.409,9.39
2015-08-26,415.2,1674.0,22462.044999999995,13.38
2015-08-27,478.1000000000001,1514.0,18510.716,7.77
2015-08-28,442.7,1826.0,16195.464999999998,7.62
2015-08-29,422.10000000000014,1927.0,15526.313000000002,13.395000000000001
2015-08-30,388.9,1871.0,9320.089,15.26
2015-08-31,363.40000000000003,2134.0,21093.149,9.93
2015-09-01,362.19999999999993,2007.0,20371.868000000006,7.379999999999999
2015-09-02,321.6,1838.0,15397.235,11.740000000000002
2015-09-03,304.59999999999997,1926.0,18584.671,9.88
2015-09-04,311.80000000000007,1954.0,5114.624999999999,7.420000000000002
2015-09-05,330.79999999999995,1827.0,21824.219,14.45
2015-09-06,336.5,1852.0,16833.804,16.56
2015-09-07,374.0,1780.0,23202.987,24.74
2015-09-08,392.50000000000006,2008.0,16261.939,12.04
2015-09-09,402.0,1845.0,19137.219999999998,8.380000000000003
2015-09-10,398.69999999999993,2086.0,12240.568000000001,9.44
2015-09-11,414.2000000000001,2082.0,14555.795,7.030000000000001
2015-09-12,414.29999999999995,2004.0,11678.946,15.859999999999998
2015-09-13,376.8,1640.0,14293.655999999999,18.32
2015-09-14,307.00000000000006,1838.0,11022.957000000002,12.939999999999998
2015-09-15,319.5,1686.0,6245.456,10.57
2015-09-16,346.69999999999993,1581.0,4187.874000000001,11.100000000000001
2015-09-17,343.59999999999997,1908.0,8269.346,10.01
2015-09-18,349.09999999999997,2031.0,5534.773999999999,9.17
2015-09-19,363.00000000000006,2185.0,10456.168,16.560000000000002
2015-09-20,381.0999999999998,2004.0,16805.262,16.6
2015-09-21,299.4,1865.0,21526.917999999998,12.109999999999998
2015-09-22,286.79999999999995,1893.0,3870.088,11.88
2015-09-23,315.09999999999997,1732.0,8893.316,9.600000000000003
2015-09-24,345.29999999999995,1981.0,18396.511,14.89
2015-09-25,311.0,2126.0,12622.195,11.21
2015-09-26,290.09999999999997,1902.0,7719.067000000001,10.83
2015-09-27,260.9999999999999,1994.0,14573.336,15.36
2015-09-28,266.99999999999994,2032.0,11413.579,12.69
2015-09-29,292.50000000000006,2134.0,8123.338000000001,11.580000000000002
2015-09-30,300.0,2136.0,9225.389,10.340000000000002
2015-10-01,276.8,2272.0,4722.887,10.319999999999999
2015-10-02,286.4,2242.0,13827.561,9.06
2015-10-03,284.9000000000001,1895.0,22687.773,9.950000000000001
2015-10-04,280.0,2035.0,21424.524000000005,14.29
2015-10-05,272.90000000000003,2048.0,10461.192000000001,13.41
