date,temperature,pressure,humidity,dc_output,ac_output,weekday,energy_kWh
2019-04-29,244.1,2449.8200000000006,1490.0,25638.314999999995,24599.288999999997,Monday,9.510000000000003
2019-04-30,269.4,2445.91,1281.0,25240.872,24217.936999999998,Tuesday,5.78
2019-05-01,292.8999999999999,2436.95,1346.0,24181.780000000002,23185.587,Wednesday,6.830000000000001
2019-05-02,291.2,2443.9700000000003,1662.0,19093.691,18266.538,Thursday,7.760000000000001
2019-05-03,281.6000000000001,2446.77,1753.0,10625.498000000001,10079.608,Friday,6.38
2019-05-04,281.3,2436.7799999999997,1842.0,9376.253999999999,8862.104,Saturday,13.769999999999996
2019-05-05,304.99999999999994,2429.9599999999996,1860.0,23861.513000000003,22883.394,Sunday,9.43
2019-05-06,327.09999999999997,2435.06,1829.0,25142.079,24106.893,Monday,7.460000000000001
2019-05-07,327.2999999999999,2443.31,1810.0,20252.592999999997,19388.568,Tuesday,5.140000000000001
2019-05-08,332.20000000000005,2449.64,1886.0,16007.248999999998,15303.558,Wednesday,9.269999999999998
2019-05-09,377.4,2441.120000000001,1809.0,23006.743999999995,22035.135000000002,Thursday,6.51
2019-05-10,409.00000000000006,2428.91,1543.0,18157.612999999998,17377.993000000002,Friday,6.67
2019-05-11,400.7,2425.0399999999995,1706.0,18660.853999999996,17839.102999999996,Saturday,9.35
2019-05-12,330.6,2430.87,1830.0,22670.336,21718.325,Sunday,5.609999999999999
2019-05-13,307.40000000000003,2432.4899999999993,1740.0,23308.738,22336.221999999998,Monday,6.950000000000001
2019-05-14,291.0,2430.4999999999995,2043.0,11733.576,11145.192000000001,Tuesday,4.53
2019-05-15,333.49999999999994,2421.33,1980.0,17508.737000000005,16734.448,Wednesday,4.819999999999999
2019-05-16,354.79999999999995,2402.2,2044.0,23423.311000000005,22438.54,Thursday,13.500000000000002
2019-05-17,335.29999999999995,2420.03,1718.0,20244.024000000005,19366.482000000004,Friday,10.530000000000001
2019-05-18,351.5,2421.2200000000003,1613.0,25546.134,24491.079,Saturday,2.68
2019-05-19,379.3999999999999,2412.8999999999996,1708.0,21951.843999999994,21029.472000000005,Sunday,2.5000000000000004
2019-05-20,300.90000000000003,2415.9100000000003,2049.0,9345.353000000001,8814.363999999998,Monday,13.430000000000001
2019-05-21,327.8,2417.4600000000005,2077.0,17634.310999999998,16849.577999999998,Tuesday,7.329999999999999
2019-05-22,361.4,2434.0000000000005,1935.0,10764.746000000001,10192.885,Wednesday,13.260000000000002
2019-05-23,389.59999999999997,2433.5199999999995,1874.0,23088.302,22114.273999999998,Thursday,3.83
2019-05-24,331.20000000000005,2427.4700000000007,1901.0,10659.313,10085.266000000003,Friday,4.17
2019-05-25,295.7,2429.9300000000007,2042.0,15746.307999999999,15025.315,Saturday,3.3399999999999994
2019-05-26,359.8,2427.34,1926.0,22331.862,21362.742,Sunday,7.75
2019-05-27,429.00000000000006,2431.4100000000003,1763.0,24504.703999999998,23465.603,Monday,7.050000000000001
2019-05-28,368.1000000000001,2440.9599999999996,1875.0,19413.015,18558.441,Tuesday,9.030000000000001
2019-05-29,354.19999999999993,2438.1700000000005,1957.0,25270.438,24204.14,Wednesday,4.08
2019-05-30,389.2,2435.93,1896.0,9681.515000000001,9133.029999999999,Thursday,5.580000000000001
2019-05-31,405.59999999999997,2439.7400000000002,1818.0,24498.446999999996,23461.386,Friday,10.32
2019-06-01,393.4,2435.41,1837.0,21955.654,20984.208,Saturday,4.24
2019-06-02,430.20000000000005,2428.29,1571.0,20822.332,19928.935999999998,Sunday,4.319999999999999
2019-06-03,392.5999999999999,2440.6000000000004,1437.0,20913.483,20015.926,Monday,9.019999999999998
2019-06-04,357.2999999999999,2446.0499999999997,1402.0,20356.163999999997,19474.574000000004,Tuesday,4.5200000000000005
2019-06-05,351.79999999999995,2435.3,1462.0,12769.23,12134.869999999999,Wednesday,6.240000000000001
2019-06-06,320.50000000000006,2433.62,1478.0,8843.811000000002,8333.064999999999,Thursday,6.659999999999999
2019-06-07,313.2,2440.48,1646.0,8570.593,8068.888999999999,Friday,5.52
2019-06-08,351.5,2463.1099999999997,1616.0,9502.861,8971.876,Saturday,9.33
2019-06-09,362.90000000000003,2467.47,1568.0,10872.747000000001,10302.511999999997,Sunday,6.850000000000001
2019-06-10,400.0,2462.12,1677.0,14685.188,13998.121,Monday,8.16
2019-06-11,452.19999999999993,2455.3799999999997,1789.0,8358.264,7861.075,Tuesday,6.910000000000001
