date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2019-05-18,0,0,1,0,0,0,0,351.5,2421.2200000000003,1613.0,25546.134,24491.079,11.37
2019-05-19,0,0,0,1,0,0,0,379.3999999999999,2412.8999999999996,1708.0,21951.843999999994,21029.472000000005,10.01
2019-05-20,0,1,0,0,0,0,0,300.90000000000003,2415.9100000000003,2049.0,9345.353000000001,8814.363999999998,14.65
2019-05-21,0,0,0,0,0,1,0,327.8,2417.4600000000005,2077.0,17634.310999999998,16849.577999999998,14.990000000000002
2019-05-22,0,0,0,0,0,0,1,361.4,2434.0000000000005,1935.0,10764.746000000001,10192.885,9.959999999999999
2019-05-23,0,0,0,0,1,0,0,389.59999999999997,2433.5199999999995,1874.0,23088.302,22114.273999999998,9.910000000000002
2019-05-24,1,0,0,0,0,0,0,331.20000000000005,2427.4700000000007,1901.0,10659.313,10085.266000000003,10.57
2019-05-25,0,0,1,0,0,0,0,295.7,2429.9300000000007,2042.0,15746.307999999999,15025.315,10.619999999999997
2019-05-26,0,0,0,1,0,0,0,359.8,2427.34,1926.0,22331.862,21362.742,10.809999999999999
2019-05-27,0,1,0,0,0,0,0,429.00000000000006,2431.4100000000003,1763.0,24504.703999999998,23465.603,12.009999999999998
2019-05-28,0,0,0,0,0,1,0,368.1000000000001,2440.9599999999996,1875.0,19413.015,18558.441,11.240000000000002
2019-05-29,0,0,0,0,0,0,1,354.19999999999993,2438.1700000000005,1957.0,25270.438,24204.14,9.19
2019-05-30,0,0,0,0,1,0,0,389.2,2435.93,1896.0,9681.515000000001,9133.029999999999,9.380000000000003
2019-05-31,1,0,0,0,0,0,0,405.59999999999997,2439.7400000000002,1818.0,24498.446999999996,23461.386,9.65
2019-06-01,0,0,1,0,0,0,0,393.4,2435.41,1837.0,21955.654,20984.208,7.87
2019-06-02,0,0,0,1,0,0,0,430.20000000000005,2428.29,1571.0,20822.332,19928.935999999998,9.930000000000001
2019-06-03,0,1,0,0,0,0,0,392.5999999999999,2440.6000000000004,1437.0,20913.483,20015.926,7.65
2019-06-04,0,0,0,0,0,1,0,357.2999999999999,2446.0499999999997,1402.0,20356.163999999997,19474.574000000004,8.280000000000001
2019-06-05,0,0,0,0,0,0,1,351.79999999999995,2435.3,1462.0,12769.23,12134.869999999999,7.549999999999999
2019-06-06,0,0,0,0,1,0,0,320.50000000000006,2433.62,1478.0,8843.811000000002,8333.064999999999,7.420000000000001
2019-06-07,1,0,0,0,0,0,0,313.2,2440.48,1646.0,8570.593,8068.888999999999,7.03
2019-06-08,0,0,1,0,0,0,0,351.5,2463.1099999999997,1616.0,9502.861,8971.876,6.869999999999999
2019-06-09,0,0,0,1,0,0,0,362.90000000000003,2467.47,1568.0,10872.747000000001,10302.511999999997,13.21
2019-06-10,0,1,0,0,0,0,0,400.0,2462.12,1677.0,14685.188,13998.121,8.189999999999998
2019-06-11,0,0,0,0,0,1,0,452.19999999999993,2455.3799999999997,1789.0,8358.264,7861.075,13.110000000000001
2019-06-12,0,0,0,0,0,0,1,510.50000000000006,2431.67,1635.0,18421.588000000003,17606.82,8.39
2019-06-13,0,0,0,0,1,0,0,474.6999999999999,2424.9500000000003,1603.0,14592.677999999998,13900.964000000002,16.63
2019-06-14,1,0,0,0,0,0,0,390.29999999999995,2439.5200000000004,1751.0,11658.853000000001,11070.072,10.150000000000002
2019-06-15,0,0,1,0,0,0,0,413.7000000000001,2440.81,1728.0,21376.329999999998,20464.632,10.450000000000001
2019-06-16,0,0,0,1,0,0,0,413.5000000000001,2438.38,1730.0,25639.269000000004,24575.829,9.809999999999999
2019-06-17,0,1,0,0,0,0,0,431.20000000000005,2442.9200000000005,1696.0,24641.094999999998,23617.723,15.090000000000002
2019-06-18,0,0,0,0,0,1,0,434.79999999999995,2448.22,1563.0,5857.021,5421.929000000001,11.299999999999997
2019-06-19,0,0,0,0,0,0,1,380.50000000000006,2444.88,1426.0,17436.733,16671.896,11.66
2019-06-20,0,0,0,0,1,0,0,364.49999999999994,2440.94,1575.0,24834.103999999996,23801.855,13.049999999999999
2019-06-21,1,0,0,0,0,0,0,410.1,2446.6800000000003,1473.0,24296.472,23281.998000000003,14.080000000000002
2019-06-22,0,0,1,0,0,0,0,383.1,2450.9700000000007,1659.0,23943.231,22950.196,12.349999999999998
2019-06-23,0,0,0,1,0,0,0,354.1999999999999,2446.3300000000004,1862.0,23162.179,22183.047,10.340000000000002
2019-06-24,0,1,0,0,0,0,0,371.4,2438.7000000000003,1694.0,16249.903999999999,15512.174,9.3
2019-06-25,0,0,0,0,0,1,0,398.7000000000001,2427.19,1523.0,24850.154,23819.677,16.82
2019-06-26,0,0,0,0,0,0,1,422.5,2427.2099999999996,1568.0,24776.643,23748.992999999995,11.42
2019-06-27,0,0,0,0,1,0,0,393.30000000000007,2435.23,1809.0,23846.002,22855.645999999997,9.47
2019-06-28,1,0,0,0,0,0,0,391.5,2445.3400000000006,1726.0,23741.693,22755.665000000005,13.95
2019-06-29,0,0,1,0,0,0,0,414.99999999999994,2448.85,1721.0,23610.266,22623.075,14.66
2019-06-30,0,0,0,1,0,0,0,427.5,2446.78,1715.0,12210.52,11590.730000000001,14.16
2019-07-01,0,1,0,0,0,0,0,466.50000000000006,2438.84,1476.0,21535.222,20631.121000000003,9.790000000000001
2019-07-02,0,0,0,0,0,1,0,388.3999999999999,2440.5099999999998,1869.0,22173.272,21230.587000000003,10.87
2019-07-03,0,0,0,0,0,0,1,407.80000000000007,2440.2500000000005,1778.0,19815.642,18964.536,11.519999999999998
2019-07-04,0,0,0,0,1,0,0,409.8,2439.4900000000002,1748.0,19762.231,18902.628000000004,13.870000000000001
2019-07-05,1,0,0,0,0,0,0,381.4,2442.56,1930.0,24901.744000000006,23874.29,14.25
2019-07-06,0,0,1,0,0,0,0,384.09999999999997,2443.89,1814.0,22543.489999999998,21603.751000000004,9.47
2019-07-07,0,0,0,1,0,0,0,373.8,2438.25,1942.0,4497.615,4097.138,8.609999999999998
2019-07-08,0,1,0,0,0,0,0,405.1000000000001,2435.77,1869.0,19640.834000000003,18793.195,8.65
2019-07-09,0,0,0,0,0,1,0,438.4000000000001,2434.8100000000004,1757.0,24914.797,23886.433,12.39
2019-07-10,0,0,0,0,0,0,1,436.29999999999995,2437.3999999999996,2068.0,23589.478,22614.758,11.81
