date,hour,energy_kWh
2017-11-30,21,0.81
2017-11-30,22,0.6
2017-11-30,23,0.36
2017-12-01,0,0.11
2017-12-01,1,0.25
2017-12-01,2,0.16
2017-12-01,3,0.11
2017-12-01,4,0.09
2017-12-01,5,0.28
2017-12-01,6,0.14
2017-12-01,7,0.17
2017-12-01,8,0.11
2017-12-01,9,0.14
2017-12-01,10,0.17
2017-12-01,11,0.08
2017-12-01,12,0.14
2017-12-01,13,0.2
2017-12-01,14,0.73
2017-12-01,15,1.18
2017-12-01,16,0.78
2017-12-01,17,0.68
2017-12-01,18,0.53
2017-12-01,19,0.3
2017-12-01,20,0.29
2017-12-01,21,0.36
2017-12-01,22,0.48
2017-12-01,23,0.87
2017-12-02,0,0.45
2017-12-02,1,0.33
2017-12-02,2,0.5
2017-12-02,3,0.33
2017-12-02,4,0.32
2017-12-02,5,0.41
2017-12-02,6,0.36
2017-12-02,7,0.18
2017-12-02,8,0.2
2017-12-02,9,0.34
2017-12-02,10,0.23
2017-12-02,11,0.44
2017-12-02,12,0.29
2017-12-02,13,0.4
2017-12-02,14,0.75
2017-12-02,15,0.47
2017-12-02,16,0.56
2017-12-02,17,0.44
2017-12-02,18,0.45
2017-12-02,19,0.55
2017-12-02,20,0.43
2017-12-02,21,0.97
2017-12-02,22,0.55
2017-12-02,23,0.59
2017-12-03,0,0.28
2017-12-03,1,0.9
2017-12-03,2,0.35
2017-12-03,3,0.26
2017-12-03,4,0.26
2017-12-03,5,0.13
2017-12-03,6,0.09
2017-12-03,7,0.24
2017-12-03,8,0.23
2017-12-03,9,0.11
2017-12-03,10,0.09
2017-12-03,11,0.4
2017-12-03,12,0.36
2017-12-03,13,0.55
2017-12-03,14,0.46
2017-12-03,15,0.46
2017-12-03,16,0.84
2017-12-03,17,0.34
2017-12-03,18,1.14
2017-12-03,19,0.96
2017-12-03,20,0.52
2017-12-03,21,0.2
2017-12-03,22,0.26
2017-12-03,23,0.13
2017-12-04,0,0.09
2017-12-04,1,0.27
2017-12-04,2,0.27
2017-12-04,3,0.12
2017-12-04,4,0.25
2017-12-04,5,0.13
2017-12-04,6,0.12
2017-12-04,7,0.16
2017-12-04,8,0.3
2017-12-04,9,0.1
2017-12-04,10,0.08
2017-12-04,11,0.09
2017-12-04,12,0.09
2017-12-04,13,0.08
2017-12-04,14,0.11
2017-12-04,15,0.09
2017-12-04,16,0.11
2017-12-04,17,0.37
2017-12-04,18,0.57
2017-12-04,19,0.45
2017-12-04,20,0.36
2017-12-04,21,1.63
2017-12-04,22,2.22
2017-12-04,23,0.51
2017-12-05,0,0.25
2017-12-05,1,0.25
2017-12-05,2,0.24
2017-12-05,3,0.24
2017-12-05,4,0.25
2017-12-05,5,0.23
2017-12-05,6,0.25
2017-12-05,7,0.28
2017-12-05,8,0.23
2017-12-05,9,0.09
2017-12-05,10,0.08
2017-12-05,11,0.1
2017-12-05,12,0.2
2017-12-05,13,0.11
2017-12-05,14,0.07
2017-12-05,15,0.1
2017-12-05,16,0.1
2017-12-05,17,0.23
2017-12-05,18,0.91
2017-12-05,19,0.69
2017-12-05,20,0.42
2017-12-05,21,0.43
2017-12-05,22,0.35
2017-12-05,23,0.31
2017-12-06,0,0.23
2017-12-06,1,0.25
2017-12-06,2,0.18
2017-12-06,3,0.09
2017-12-06,4,0.18
2017-12-06,5,0.24
2017-12-06,6,0.11
2017-12-06,7,0.16
2017-12-06,8,0.32
2017-12-06,9,0.08
2017-12-06,10,0.1
2017-12-06,11,0.08
2017-12-06,12,0.1
2017-12-06,13,0.08
2017-12-06,14,0.1
2017-12-06,15,0.08
2017-12-06,16,0.1
2017-12-06,17,0.35
2017-12-06,18,0.91
2017-12-06,19,0.34
2017-12-06,20,0.11
2017-12-06,21,0.37
2017-12-06,22,0.38
2017-12-06,23,0.29
2017-12-07,0,0.25
2017-12-07,1,0.26
2017-12-07,2,0.25
2017-12-07,3,0.25
2017-12-07,4,0.25
2017-12-07,5,0.24
2017-12-07,6,0.24
2017-12-07,7,0.19
2017-12-07,8,0.39
2017-12-07,9,0.11
2017-12-07,10,0.13
2017-12-07,11,0.24
2017-12-07,12,0.08
2017-12-07,13,0.11
2017-12-07,14,0.25
2017-12-07,15,0.15
2017-12-07,16,0.09
2017-12-07,17,0.315
2017-12-07,18,1.54
2017-12-07,19,0.93
2017-12-07,20,0.44
2017-12-07,21,0.4
2017-12-07,22,0.51
2017-12-07,23,0.18
2017-12-08,0,0.24
2017-12-08,1,0.28
2017-12-08,2,0.25
2017-12-08,3,0.25
2017-12-08,4,0.25
2017-12-08,5,0.23
2017-12-08,6,0.25
2017-12-08,7,0.21
2017-12-08,8,0.37
2017-12-08,9,0.08
2017-12-08,10,0.25
2017-12-08,11,0.13
2017-12-08,12,0.11
2017-12-08,13,0.24
2017-12-08,14,0.13
2017-12-08,15,0.19
2017-12-08,16,0.22
2017-12-08,17,0.28
2017-12-08,18,0.14
2017-12-08,19,0.25
2017-12-08,20,0.17
2017-12-08,21,0.11
2017-12-08,22,0.23
2017-12-08,23,0.22
2017-12-09,0,0.08
2017-12-09,1,0.24
2017-12-09,2,0.23
2017-12-09,3,0.27
2017-12-09,4,0.23
2017-12-09,5,0.25
2017-12-09,6,0.23
2017-12-09,7,0.26
2017-12-09,8,0.1
2017-12-09,9,0.17
2017-12-09,10,0.15
2017-12-09,11,0.14
2017-12-09,12,0.27
2017-12-09,13,0.26
2017-12-09,14,0.23
2017-12-09,15,0.18
2017-12-09,16,0.36
2017-12-09,17,0.37
2017-12-09,18,0.43
2017-12-09,19,0.08
2017-12-09,20,0.21
2017-12-09,21,0.24
2017-12-09,22,0.13
2017-12-09,23,0.31
2017-12-10,0,0.31
2017-12-10,1,0.25
2017-12-10,2,0.19
2017-12-10,3,0.09
2017-12-10,4,0.12
2017-12-10,5,0.22
2017-12-10,6,0.14
2017-12-10,7,0.09
2017-12-10,8,0.19
2017-12-10,9,0.17
2017-12-10,10,0.1
2017-12-10,11,0.8
2017-12-10,12,0.58
2017-12-10,13,0.33
2017-12-10,14,0.37
2017-12-10,15,0.95
2017-12-10,16,0.53
2017-12-10,17,0.85
2017-12-10,18,1.11
2017-12-10,19,1.05
2017-12-10,20,1.95
2017-12-10,21,0.66
2017-12-10,22,0.4
2017-12-10,23,0.3
2017-12-11,0,0.25
2017-12-11,1,0.27
2017-12-11,2,0.25
2017-12-11,3,0.26
2017-12-11,4,0.17
2017-12-11,5,0.1
2017-12-11,6,0.25
2017-12-11,7,0.23
2017-12-11,8,0.31
2017-12-11,9,0.09
2017-12-11,10,0.12
2017-12-11,11,0.16
2017-12-11,12,0.31
2017-12-11,13,0.22
2017-12-11,14,0.22
2017-12-11,15,0.22
2017-12-11,16,0.22
2017-12-11,17,0.25
2017-12-11,18,1.31
2017-12-11,19,1.1
2017-12-11,20,1.16
2017-12-11,21,1.57
2017-12-11,22,0.43
2017-12-11,23,0.17
2017-12-12,0,0.11
2017-12-12,1,0.09
2017-12-12,2,0.11
2017-12-12,3,0.11
2017-12-12,4,0.25
2017-12-12,5,0.11
2017-12-12,6,0.1
2017-12-12,7,0.15
2017-12-12,8,0.55
2017-12-12,9,0.12
2017-12-12,10,0.12
2017-12-12,11,0.16
2017-12-12,12,0.14
2017-12-12,13,0.18
2017-12-12,14,0.19
2017-12-12,15,0.22
2017-12-12,16,0.23
2017-12-12,17,0.46
2017-12-12,18,1.0
2017-12-12,19,0.68
2017-12-12,20,0.95
2017-12-12,21,0.38
2017-12-12,22,0.31
2017-12-12,23,0.13
2017-12-13,0,0.25
2017-12-13,1,0.27
2017-12-13,2,0.19
2017-12-13,3,0.12
2017-12-13,4,0.08
2017-12-13,5,0.09
2017-12-13,6,0.24
2017-12-13,7,0.16
2017-12-13,8,0.16
2017-12-13,9,0.09
2017-12-13,10,0.1
2017-12-13,11,0.24
2017-12-13,12,0.21
2017-12-13,13,0.19
2017-12-13,14,0.27
2017-12-13,15,0.21
2017-12-13,16,0.42
2017-12-13,17,0.48
2017-12-13,18,0.58
2017-12-13,19,0.96
2017-12-13,20,0.61
2017-12-13,21,0.57
2017-12-13,22,0.32
2017-12-13,23,0.39
2017-12-14,0,0.24
2017-12-14,1,0.26
2017-12-14,2,0.15
2017-12-14,3,0.11
2017-12-14,4,0.22
2017-12-14,5,0.24
2017-12-14,6,0.15
2017-12-14,7,0.08
2017-12-14,8,0.22
2017-12-14,9,0.1
2017-12-14,10,0.26
2017-12-14,11,0.27
2017-12-14,12,0.23
2017-12-14,13,0.14
2017-12-14,14,0.14
2017-12-14,15,0.09
2017-12-14,16,0.11
2017-12-14,17,0.3
2017-12-14,18,0.56
2017-12-14,19,0.58
2017-12-14,20,0.8
2017-12-14,21,1.0
2017-12-14,22,0.46
2017-12-14,23,0.12
2017-12-15,0,0.09
2017-12-15,1,0.1
2017-12-15,2,0.09
2017-12-15,3,0.28
2017-12-15,4,0.36
2017-12-15,5,0.51
2017-12-15,6,0.06
2017-12-15,7,0.06
2017-12-15,8,0.07
2017-12-15,9,0.07
2017-12-15,10,0.07
2017-12-15,11,0.07
2017-12-15,12,0.07
2017-12-15,13,0.07
2017-12-15,14,0.07
2017-12-15,15,0.07
2017-12-15,16,0.07
